setting,target,budget,arm,n,detect,lo,hi,mean_iters
llama-2-7b-chat,llama-2-7b-chat,10000,FIXED-SPLIT,50,1.0,1.0,1.0,2670.3
llama-2-7b-chat,llama-2-7b-chat,10000,LADDER,50,0.88,0.78,0.96,57.92
llama-2-7b-chat,llama-2-7b-chat,10000,ORACLE,50,1.0,1.0,1.0,8.0
llama-2-7b-chat,llama-2-7b-chat,10000,STATIC-d0,50,0.0,0.0,0.0,6735.24
llama-2-7b-chat,llama-2-7b-chat,10000,STATIC-d1,50,0.98,0.92,1.0,14.46
llama-2-7b-chat,llama-2-7b-chat,10000,STATIC-d2,50,0.64,0.52,0.76,118.64
llama-2-13b-chat,llama-2-13b-chat,1,FIXED-SPLIT,50,0.0,0.0,0.0,1.0
llama-2-13b-chat,llama-2-13b-chat,1,LADDER,50,0.0,0.0,0.0,1.0
llama-2-13b-chat,llama-2-13b-chat,1,ORACLE,50,0.0,0.0,0.0,1.0
llama-2-13b-chat,llama-2-13b-chat,1,STATIC-d0,50,0.0,0.0,0.0,1.0
llama-2-13b-chat,llama-2-13b-chat,1,STATIC-d1,50,0.0,0.0,0.0,1.0
llama-2-13b-chat,llama-2-13b-chat,2,FIXED-SPLIT,50,0.0,0.0,0.0,2.0
llama-2-13b-chat,llama-2-13b-chat,2,LADDER,50,0.0,0.0,0.0,2.0
llama-2-13b-chat,llama-2-13b-chat,2,ORACLE,50,0.84,0.72,0.94,2.0
llama-2-13b-chat,llama-2-13b-chat,2,STATIC-d0,50,0.84,0.72,0.94,2.0
llama-2-13b-chat,llama-2-13b-chat,2,STATIC-d1,50,0.0,0.0,0.0,2.0
llama-2-13b-chat,llama-2-13b-chat,3,FIXED-SPLIT,50,0.0,0.0,0.0,3.0
llama-2-13b-chat,llama-2-13b-chat,3,LADDER,50,0.0,0.0,0.0,3.0
llama-2-13b-chat,llama-2-13b-chat,3,ORACLE,50,0.84,0.72,0.94,2.16
llama-2-13b-chat,llama-2-13b-chat,3,STATIC-d0,50,0.84,0.72,0.94,2.16
llama-2-13b-chat,llama-2-13b-chat,3,STATIC-d1,50,0.06,0.0,0.14,3.0
llama-2-13b-chat,llama-2-13b-chat,5,FIXED-SPLIT,50,0.84,0.72,0.94,2.48
llama-2-13b-chat,llama-2-13b-chat,5,LADDER,50,0.84,0.72,0.94,2.48
llama-2-13b-chat,llama-2-13b-chat,5,ORACLE,50,0.84,0.72,0.94,2.48
llama-2-13b-chat,llama-2-13b-chat,5,STATIC-d0,50,0.84,0.72,0.94,2.48
llama-2-13b-chat,llama-2-13b-chat,5,STATIC-d1,50,0.06,0.0,0.14,4.8
llama-2-13b-chat,llama-2-13b-chat,8,FIXED-SPLIT,50,0.84,0.72,0.94,2.96
llama-2-13b-chat,llama-2-13b-chat,8,LADDER,50,0.84,0.72,0.94,2.96
llama-2-13b-chat,llama-2-13b-chat,8,ORACLE,50,0.84,0.72,0.94,2.96
llama-2-13b-chat,llama-2-13b-chat,8,STATIC-d0,50,0.84,0.72,0.94,2.96
llama-2-13b-chat,llama-2-13b-chat,8,STATIC-d1,50,0.06,0.0,0.14,7.5
llama-2-13b-chat,llama-2-13b-chat,12,FIXED-SPLIT,50,0.84,0.72,0.94,3.6
llama-2-13b-chat,llama-2-13b-chat,12,LADDER,50,0.84,0.72,0.94,3.6
llama-2-13b-chat,llama-2-13b-chat,12,ORACLE,50,0.84,0.72,0.94,3.6
llama-2-13b-chat,llama-2-13b-chat,12,STATIC-d0,50,0.84,0.72,0.94,3.6
llama-2-13b-chat,llama-2-13b-chat,12,STATIC-d1,50,0.06,0.0,0.14,11.1
llama-2-13b-chat,llama-2-13b-chat,20,FIXED-SPLIT,50,0.84,0.72,0.94,4.88
llama-2-13b-chat,llama-2-13b-chat,20,LADDER,50,0.84,0.72,0.94,4.88
llama-2-13b-chat,llama-2-13b-chat,20,ORACLE,50,0.84,0.72,0.94,4.88
llama-2-13b-chat,llama-2-13b-chat,20,STATIC-d0,50,0.84,0.72,0.94,4.88
llama-2-13b-chat,llama-2-13b-chat,20,STATIC-d1,50,0.06,0.0,0.14,17.88
llama-2-13b-chat,llama-2-13b-chat,35,FIXED-SPLIT,50,0.84,0.72,0.94,7.18
llama-2-13b-chat,llama-2-13b-chat,35,LADDER,50,0.84,0.72,0.94,6.98
llama-2-13b-chat,llama-2-13b-chat,35,ORACLE,50,0.86,0.76,0.96,7.04
llama-2-13b-chat,llama-2-13b-chat,35,STATIC-d0,50,0.86,0.76,0.96,7.04
llama-2-13b-chat,llama-2-13b-chat,35,STATIC-d1,50,0.06,0.0,0.14,30.48
llama-2-13b-chat,llama-2-13b-chat,60,FIXED-SPLIT,50,0.86,0.76,0.96,10.2
llama-2-13b-chat,llama-2-13b-chat,60,LADDER,50,0.84,0.72,0.94,10.46
llama-2-13b-chat,llama-2-13b-chat,60,ORACLE,50,0.86,0.76,0.96,10.54
llama-2-13b-chat,llama-2-13b-chat,60,STATIC-d0,50,0.86,0.76,0.96,10.54
llama-2-13b-chat,llama-2-13b-chat,60,STATIC-d1,50,0.12,0.04,0.22,50.28
llama-2-13b-chat,llama-2-13b-chat,100,FIXED-SPLIT,50,0.86,0.76,0.96,15.4
llama-2-13b-chat,llama-2-13b-chat,100,LADDER,50,0.84,0.72,0.94,15.26
llama-2-13b-chat,llama-2-13b-chat,100,ORACLE,50,0.88,0.78,0.96,15.72
llama-2-13b-chat,llama-2-13b-chat,100,STATIC-d0,50,0.88,0.78,0.96,15.72
llama-2-13b-chat,llama-2-13b-chat,100,STATIC-d1,50,0.12,0.04,0.22,79.08
llama-2-13b-chat,llama-2-13b-chat,200,FIXED-SPLIT,50,0.88,0.78,0.96,25.02
llama-2-13b-chat,llama-2-13b-chat,200,LADDER,50,0.84,0.72,0.94,26.38
llama-2-13b-chat,llama-2-13b-chat,200,ORACLE,50,0.92,0.84,0.98,25.34
llama-2-13b-chat,llama-2-13b-chat,200,STATIC-d0,50,0.92,0.84,0.98,25.34
llama-2-13b-chat,llama-2-13b-chat,200,STATIC-d1,50,0.16,0.06,0.28,140.16
llama-2-13b-chat,llama-2-13b-chat,500,FIXED-SPLIT,50,0.94,0.86,1.0,39.7
llama-2-13b-chat,llama-2-13b-chat,500,LADDER,50,0.86,0.76,0.96,39.2
llama-2-13b-chat,llama-2-13b-chat,500,ORACLE,50,0.94,0.86,1.0,43.66
llama-2-13b-chat,llama-2-13b-chat,500,STATIC-d0,50,0.94,0.86,1.0,43.66
llama-2-13b-chat,llama-2-13b-chat,500,STATIC-d1,50,0.22,0.12,0.36,188.12
llama-2-13b-chat,llama-2-13b-chat,1000,FIXED-SPLIT,50,0.94,0.86,1.0,61.38
llama-2-13b-chat,llama-2-13b-chat,1000,LADDER,50,0.86,0.76,0.96,47.58
llama-2-13b-chat,llama-2-13b-chat,1000,ORACLE,50,0.94,0.86,1.0,73.66
llama-2-13b-chat,llama-2-13b-chat,1000,STATIC-d0,50,0.94,0.86,1.0,73.66
