model,budget,arm,mean,lo,hi
gpt-4-0125-preview,150,ADAPTIVE-escal+thompson,0.8599666666666669,0.8599000000000001,0.8600000000000002
gpt-4-0125-preview,150,ADAPTIVE-escalation,0.04,0.04,0.04
gpt-4-0125-preview,150,ADAPTIVE-succ-halving,0.7351666666666666,0.7326333333333334,0.7374675
gpt-4-0125-preview,150,ADAPTIVE-thompson,0.8078000000000001,0.8062999999999999,0.8094666666666666
gpt-4-0125-preview,150,ORACLE,0.8600000000000002,0.8600000000000002,0.8600000000000002
gpt-4-0125-preview,150,STATIC-best-method(oracle),0.7800000000000001,0.7800000000000001,0.7800000000000001
gpt-4-0125-preview,150,STATIC-round-robin,0.04,0.04,0.04
gpt-4-0125-preview,150,STATIC-single-method,0.30833333333333335,0.27199166666666663,0.345205
gpt-4-0125-preview,200,ADAPTIVE-escal+thompson,0.8600000000000002,0.8600000000000002,0.8600000000000002
gpt-4-0125-preview,200,ADAPTIVE-escalation,0.0531,0.052099999999999994,0.054033333333333336
gpt-4-0125-preview,200,ADAPTIVE-succ-halving,0.8194666666666665,0.8178,0.8210999999999999
gpt-4-0125-preview,200,ADAPTIVE-thompson,0.8447333333333332,0.8434666666666666,0.8461333333333333
gpt-4-0125-preview,200,ORACLE,0.8600000000000002,0.8600000000000002,0.8600000000000002
gpt-4-0125-preview,200,STATIC-best-method(oracle),0.7800000000000001,0.7800000000000001,0.7800000000000001
gpt-4-0125-preview,200,STATIC-round-robin,0.04,0.04,0.04
gpt-4-0125-preview,200,STATIC-single-method,0.30833333333333335,0.27199166666666663,0.345205
gpt-4-0125-preview,300,ADAPTIVE-escal+thompson,0.8600000000000002,0.8600000000000002,0.8600000000000002
gpt-4-0125-preview,300,ADAPTIVE-escalation,0.4227,0.42149916666666665,0.423935
gpt-4-0125-preview,300,ADAPTIVE-succ-halving,0.8406666666666666,0.8393999999999999,0.8420999999999998
gpt-4-0125-preview,300,ADAPTIVE-thompson,0.8600000000000002,0.8600000000000002,0.8600000000000002
gpt-4-0125-preview,300,ORACLE,0.8600000000000002,0.8600000000000002,0.8600000000000002
gpt-4-0125-preview,300,STATIC-best-method(oracle),0.7800000000000001,0.7800000000000001,0.7800000000000001
gpt-4-0125-preview,300,STATIC-round-robin,0.35999999999999993,0.35999999999999993,0.35999999999999993
